,index,ts_hour_sin,ts_hour_cos,tou_offpeak,tou_standard,tou_peak,day_week,day_saturday,day_sunday,site_load_energy,solar_prod_energy,solar_ctlr_setpoint,grid_import_energy,grid_notified_maximum_demand,bess_avail_discharge_energy,bess_capacity,bess_cycle_efficiency,bess_charge_from_solar_energy,bess_charge_from_grid_energy,bess_discharge_energy,tou_peak_tariff,tou_standard_tariff,tou_offpeak_tariff,solar_ppa_tariff,debug_flag,grid_surplus_energy,solar_surplus_energy,solar_vs_load_ratio,bess_soc,action_name,reward_earned
60,60,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1491.5,1095.3,99.41,396.2,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1603.8,6.5,73.44,100.0,charge-500,1000.0
61,61,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1489.5,1125.7,95.311,363.8,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1636.2,55.38,75.58,100.0,charge-1000,1000.0
62,62,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1436.9,1057.2,98.905,379.7,2000.0,2620.3,3000.0,0.9,0.0,0.0,379.7,5.0,2.0,1.0,1.4,True,1620.3,11.7,73.58,87.34,discharge-500,385.8499999999999
63,63,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1151.4,478.4,100.0,673.0,2000.0,2620.3,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1327.0,0.0,41.55,87.34,do-nothing,873.4
64,64,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1296.1,345.1,95.759,951.0,2000.0,2620.3,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1049.0,15.28,26.63,87.34,do-nothing,873.4
65,65,-0.9613974918795568,-0.27516333805159693,0.0,0.0,1.0,1.0,0.0,0.0,1144.1,156.9,100.0,987.2,2000.0,2620.3,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1012.8,0.0,13.71,87.34,do-nothing,873.4
66,66,-0.750987246771676,0.6603167082440802,0.0,0.0,1.0,1.0,0.0,0.0,1064.02,16.52,100.0,1047.5,2000.0,1572.8000000000002,3000.0,0.9,0.0,0.0,1047.5,5.0,2.0,1.0,1.4,True,952.5,0.0,1.55,52.43,discharge-1500,3491.67
67,67,0.14987720966295234,0.9887046181866692,0.0,1.0,0.0,1.0,0.0,0.0,1038.4,0.0,100.0,1038.4,2000.0,2072.8,3000.0,0.9,0.0,500.0,0.0,5.0,2.0,1.0,1.4,True,961.6,0.0,0.0,69.09,charge-500,350.0
68,68,0.9129452507276277,0.40808206181339196,0.0,1.0,0.0,1.0,0.0,0.0,1261.3,0.0,100.0,1261.3,2000.0,2572.8,3000.0,0.9,0.0,500.0,0.0,5.0,2.0,1.0,1.4,True,738.7,0.0,0.0,85.76,charge-500,1207.6
69,69,0.8366556385360561,-0.5477292602242684,0.0,1.0,0.0,1.0,0.0,0.0,1213.7,0.0,100.0,1213.7,2000.0,2072.8,3000.0,0.9,0.0,0.0,500.0,5.0,2.0,1.0,1.4,True,786.3,0.0,0.0,69.09,discharge-500,-666.6700000000001
70,70,-0.008851309290403876,-0.9999608263946371,1.0,0.0,0.0,1.0,0.0,0.0,1512.5,0.0,100.0,1512.5,2000.0,2560.3,3000.0,0.9,0.0,487.5,0.0,5.0,2.0,1.0,1.4,True,487.5,0.0,0.0,85.34,charge-1000,1901.52
71,71,-0.8462204041751706,-0.5328330203333975,1.0,0.0,0.0,1.0,0.0,0.0,1463.7,0.0,100.0,1463.7,2000.0,1096.6000000000001,3000.0,0.9,0.0,0.0,1463.7,5.0,2.0,1.0,1.4,True,536.3,0.0,0.0,36.55,discharge-1500,-4228.47
72,72,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1451.4,0.0,100.0,1451.4,2000.0,1645.2000000000003,3000.0,0.9,0.0,548.6,0.0,5.0,2.0,1.0,1.4,True,548.6,0.0,0.0,54.84,charge-1000,1179.4899999999998
73,73,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1435.7,0.0,100.0,1435.7,2000.0,2209.5,3000.0,0.9,0.0,564.3,0.0,5.0,2.0,1.0,1.4,True,564.3,0.0,0.0,73.65,charge-1500,1213.24
74,74,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1410.8,0.0,100.0,1410.8,2000.0,2798.7,3000.0,0.9,0.0,589.2,0.0,5.0,2.0,1.0,1.4,True,589.2,0.0,0.0,93.29,charge-1500,2199.68
75,75,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1293.5,0.0,100.0,1293.5,2000.0,3000.0,3000.0,0.9,0.0,201.30000000000018,0.0,5.0,2.0,1.0,1.4,True,706.5,0.0,0.0,100.0,charge-1500,1432.8
76,76,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1289.0,0.0,100.0,1289.0,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,711.0,0.0,0.0,100.0,do-nothing,1000.0
77,77,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1404.97,21.57,100.0,1383.4,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,5.0,2.0,1.0,1.4,True,616.6,0.0,1.54,100.0,charge-1500,1000.0
78,78,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1392.0,96.4,100.0,1295.6,2000.0,3000.0,3000.0,0.9,-0.0,-1.1368683772161603e-13,0.0,5.0,2.0,1.0,1.4,True,704.4,0.0,6.93,100.0,charge-1000,1000.0
79,79,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1406.6,225.1,100.0,1181.5,2000.0,1818.5,3000.0,0.9,0.0,0.0,1181.5,5.0,2.0,1.0,1.4,True,818.5,0.0,16.0,60.62,discharge-1500,3938.33
80,80,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1418.9,274.7,100.0,1144.2,2000.0,2674.3,3000.0,0.9,0.0,855.8,0.0,5.0,2.0,1.0,1.4,True,855.8,0.0,19.36,89.14,charge-1000,-2232.27
81,81,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1438.7,742.3,100.0,696.4,2000.0,3000.0,3000.0,0.9,0.0,325.6999999999998,0.0,5.0,2.0,1.0,1.4,True,1303.6,0.0,51.6,100.0,charge-500,1227.99
82,82,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1182.2,388.0,98.16,794.2,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1205.8,7.27,32.82,100.0,do-nothing,1000.0
83,83,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1516.9,726.6,100.0,790.3,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1209.7,0.0,47.9,100.0,do-nothing,1000.0
84,84,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1523.5,681.0,100.0,842.5,2000.0,2157.5,3000.0,0.9,0.0,0.0,842.5,5.0,2.0,1.0,1.4,True,1157.5,0.0,44.7,71.92,discharge-1500,-1123.33
85,85,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1582.9,898.0,100.0,684.9,2000.0,1472.6,3000.0,0.9,0.0,0.0,684.9,5.0,2.0,1.0,1.4,True,1315.1,0.0,56.73,49.09,discharge-1000,-913.2
86,86,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1596.1,934.5,100.0,661.6,2000.0,972.5999999999999,3000.0,0.9,0.0,0.0,500.0,5.0,2.0,1.0,1.4,True,1338.4,0.0,58.55,32.42,discharge-500,-666.6700000000001
87,87,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1441.5,560.5,100.0,881.0,2000.0,91.59999999999991,3000.0,0.9,0.0,0.0,881.0,5.0,2.0,1.0,1.4,True,1119.0,0.0,38.88,3.05,discharge-1000,-2144.17
88,88,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1329.5,438.9,100.0,890.6,2000.0,0.0,3000.0,0.9,0.0,0.0,91.59999999999991,5.0,2.0,1.0,1.4,True,1109.4,0.0,33.01,0.0,discharge-500,-1122.13
89,89,-0.9613974918795568,-0.27516333805159693,0.0,0.0,1.0,1.0,0.0,0.0,1030.5,95.0,100.0,935.5,2000.0,0.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1064.5,0.0,9.22,0.0,do-nothing,-1000.0
90,90,-0.750987246771676,0.6603167082440802,0.0,0.0,1.0,1.0,0.0,0.0,1110.82,7.62,100.0,1103.2,2000.0,0.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,896.8,0.0,0.69,0.0,discharge-1500,-1000.0
91,91,0.14987720966295234,0.9887046181866692,0.0,1.0,0.0,1.0,0.0,0.0,1085.6,0.0,100.0,1085.6,2000.0,0.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,914.4,0.0,0.0,0.0,do-nothing,-1000.0
