,index,ts_hour_sin,ts_hour_cos,tou_offpeak,tou_standard,tou_peak,day_week,day_saturday,day_sunday,site_load_energy,solar_prod_energy,solar_ctlr_setpoint,grid_import_energy,grid_notified_maximum_demand,bess_avail_discharge_energy,bess_capacity,bess_cycle_efficiency,bess_charge_from_solar_energy,bess_charge_from_grid_energy,bess_discharge_energy,tou_peak_tariff,tou_standard_tariff,tou_offpeak_tariff,solar_ppa_tariff,debug_flag,grid_surplus_energy,solar_surplus_energy,solar_vs_load_ratio,bess_soc,action_name,reward_earned
10,10,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1272.7,1198.2,94.303,74.5,2000.0,2610.3,3000.0,0.9,72.39,1427.61,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1925.5,72.39,94.15,87.01,charge-1500,2829.4599999999996
11,11,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1194.6,1114.0,79.343,80.6,2000.0,3000.0,3000.0,0.9,113.02469099999993,276.67530899999986,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1919.4,290.03,93.25,100.0,charge-1000,1365.87
12,12,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1296.0,1212.7,75.729,83.3,2000.0,2916.7,3000.0,0.9,0.0,0.0,83.3,6.2405,1.8908,1.0270000000000001,1.4,True,1916.7,388.67,93.57,97.22,discharge-500,1000.12
13,13,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1223.8,984.3,81.28,239.5,2000.0,2677.2,3000.0,0.9,0.0,0.0,239.5,6.2405,1.8908,1.0270000000000001,1.4,True,1760.5,226.7,80.43,89.24,discharge-1000,884.6600000000001
14,14,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1216.0,885.2,83.609,330.8,2000.0,2677.2,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1669.2,173.54,72.8,89.24,do-nothing,892.4
15,15,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1133.5,689.9,93.031,443.6,2000.0,2233.6,3000.0,0.9,0.0,0.0,443.6,6.2405,1.8908,1.0270000000000001,1.4,True,1556.4,51.68,60.86,74.45,discharge-500,-836.8299999999999
16,16,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1051.5,286.9,97.939,764.6,2000.0,2233.6,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1235.4,6.04,27.28,74.45,do-nothing,0.0
17,17,-0.9613974918795568,-0.27516333805159693,0.0,0.0,1.0,1.0,0.0,0.0,1337.1,109.3,100.0,1227.8,2000.0,3000.0,3000.0,0.9,0.0,766.3999999999999,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,772.2,0.0,8.17,100.0,charge-1000,-2776.4300000000003
18,18,-0.750987246771676,0.6603167082440802,0.0,0.0,1.0,1.0,0.0,0.0,1117.86,30.26,100.0,1087.6,2000.0,3000.0,3000.0,0.9,-0.0,-1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,912.4,0.0,2.71,100.0,charge-1500,1000.0
19,19,0.14987720966295234,0.9887046181866692,0.0,1.0,0.0,1.0,0.0,0.0,1082.9,0.0,100.0,1082.9,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,917.1,0.0,0.0,100.0,charge-1000,1000.0
20,20,0.9129452507276277,0.40808206181339196,0.0,1.0,0.0,1.0,0.0,0.0,1139.3,0.0,100.0,1139.3,2000.0,3000.0,3000.0,0.9,0.0,2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,860.7,0.0,0.0,100.0,charge-1000,1000.0
21,21,0.8366556385360561,-0.5477292602242684,0.0,1.0,0.0,1.0,0.0,0.0,1074.1,0.0,100.0,1074.1,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,925.9,0.0,0.0,100.0,charge-500,1000.0
22,22,-0.008851309290403876,-0.9999608263946371,1.0,0.0,0.0,1.0,0.0,0.0,1126.2,0.0,100.0,1126.2,2000.0,3000.0,3000.0,0.9,-0.0,-2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,873.8,0.0,0.0,100.0,charge-1500,1000.0
23,23,-0.8462204041751706,-0.5328330203333975,1.0,0.0,0.0,1.0,0.0,0.0,1438.5,0.0,100.0,1438.5,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,561.5,0.0,0.0,100.0,charge-1000,1000.0
24,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1255.3,0.0,100.0,1255.3,2000.0,3000.0,3000.0,0.9,0.0,2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,744.7,0.0,0.0,100.0,charge-1500,1000.0
25,25,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1339.7,0.0,100.0,1339.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,660.3,0.0,0.0,100.0,do-nothing,1000.0
26,26,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1292.2,0.0,100.0,1292.2,2000.0,3000.0,3000.0,0.9,-0.0,-2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,707.8,0.0,0.0,100.0,charge-1000,1000.0
27,27,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1201.4,0.0,100.0,1201.4,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,798.6,0.0,0.0,100.0,charge-1500,1000.0
28,28,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1159.9,0.0,100.0,1159.9,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,840.1,0.0,0.0,100.0,charge-1500,1000.0
29,29,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1147.87,10.97,100.0,1136.9,2000.0,2500.0,3000.0,0.9,0.0,0.0,500.0,6.2405,1.8908,1.0270000000000001,1.4,True,863.1,0.0,0.96,83.33,discharge-500,-911.8900000000001
30,30,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1269.61,102.91,100.0,1166.7,2000.0,2500.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,833.3,0.0,8.11,83.33,do-nothing,833.3
31,31,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1284.45,212.85,100.0,1071.6,2000.0,2500.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,928.4,0.0,16.57,83.33,do-nothing,833.3
32,32,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1302.3,310.7,100.0,991.6,2000.0,3000.0,3000.0,0.9,0.0,500.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1008.4,0.0,23.86,100.0,charge-500,-1463.7399999999998
33,33,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1350.16,496.26,100.0,853.9,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1146.1,0.0,36.76,100.0,charge-1000,1000.0
34,34,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1295.3,969.0,100.0,326.3,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1673.7,0.0,74.81,100.0,charge-1500,1000.0
35,35,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1393.6,884.5,87.701,509.1,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1490.9,124.04,63.47,100.0,do-nothing,1000.0
36,36,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1341.7,404.0,98.86,937.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1062.3,4.66,30.11,100.0,charge-500,1000.0
37,37,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1191.6,256.0,96.312,935.6,2000.0,3000.0,3000.0,0.9,2.0743455774936456e-15,2.2529932986573841e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1064.4,9.8,21.48,100.0,charge-1500,1000.0
38,38,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1292.7,667.0,97.233,625.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1374.3,18.98,51.6,100.0,charge-1000,1000.0
39,39,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1272.6,664.2,99.667,608.4,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1391.6,2.22,52.19,100.0,do-nothing,1000.0
40,40,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1191.5,422.7,100.0,768.8,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1231.2,0.0,35.48,100.0,charge-500,1000.0
41,41,-0.9613974918795568,-0.27516333805159693,0.0,0.0,1.0,1.0,0.0,0.0,1056.4,123.6,100.0,932.8,2000.0,2067.2,3000.0,0.9,0.0,0.0,932.8,6.2405,1.8908,1.0270000000000001,1.4,True,1067.2,0.0,11.7,68.91,discharge-1500,4309.070000000001
42,42,-0.750987246771676,0.6603167082440802,0.0,0.0,1.0,1.0,0.0,0.0,986.65,11.85,100.0,974.8,2000.0,2567.2,3000.0,0.9,0.0,500.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1025.2,0.0,1.2,85.57,charge-500,-1608.0399999999997
43,43,0.14987720966295234,0.9887046181866692,0.0,1.0,0.0,1.0,0.0,0.0,971.7,0.0,100.0,971.7,2000.0,2567.2,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1028.3,0.0,0.0,85.57,do-nothing,855.7
44,44,0.9129452507276277,0.40808206181339196,0.0,1.0,0.0,1.0,0.0,0.0,1000.6,0.0,100.0,1000.6,2000.0,3000.0,3000.0,0.9,0.0,432.8000000000002,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,999.4,0.0,0.0,100.0,charge-500,1597.08
45,45,0.8366556385360561,-0.5477292602242684,0.0,1.0,0.0,1.0,0.0,0.0,1001.0,0.0,100.0,1001.0,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,999.0,0.0,0.0,100.0,charge-1000,1000.0
46,46,-0.008851309290403876,-0.9999608263946371,1.0,0.0,0.0,1.0,0.0,0.0,1146.6,0.0,100.0,1146.6,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,853.4,0.0,0.0,100.0,do-nothing,1000.0
47,47,-0.8462204041751706,-0.5328330203333975,1.0,0.0,0.0,1.0,0.0,0.0,1461.2,0.0,100.0,1461.2,2000.0,1538.8,3000.0,0.9,0.0,0.0,1461.2,6.2405,1.8908,1.0270000000000001,1.4,True,538.8,0.0,0.0,51.29,discharge-1500,-5100.16
48,48,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1343.2,0.0,100.0,1343.2,2000.0,2195.6,3000.0,0.9,0.0,656.8,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,656.8,0.0,0.0,73.19,charge-1000,1728.76
49,49,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1408.0,0.0,100.0,1408.0,2000.0,2787.6,3000.0,0.9,0.0,592.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,592.0,0.0,0.0,92.92,charge-1000,2487.3999999999996
50,50,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1369.9,0.0,100.0,1369.9,2000.0,1787.6,3000.0,0.9,0.0,0.0,1000.0,6.2405,1.8908,1.0270000000000001,1.4,True,630.1,0.0,0.0,59.59,discharge-1000,-3490.3900000000003
51,51,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1188.5,0.0,100.0,1188.5,2000.0,2599.1,3000.0,0.9,0.0,811.5,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,811.5,0.0,0.0,86.64,charge-1000,3002.34
52,52,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1210.4,0.0,100.0,1210.4,2000.0,2599.1,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,789.6,0.0,0.0,86.64,do-nothing,866.4
53,53,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1249.42,37.52,100.0,1211.9,2000.0,3000.0,3000.0,0.9,0.0,400.9000000000002,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,788.1,0.0,3.0,100.0,charge-1500,2055.21
54,54,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1326.6,224.4,100.0,1102.2,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,897.8,0.0,16.92,100.0,do-nothing,1000.0
55,55,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1384.5,479.8,100.0,904.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1095.3,0.0,34.66,100.0,charge-500,1000.0
56,56,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1396.9,845.2,100.0,551.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1448.3,0.0,60.51,100.0,charge-1000,1000.0
57,57,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1329.5,1095.6,100.0,233.9,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1766.1,0.0,82.41,100.0,do-nothing,1000.0
58,58,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1426.0,1266.3,99.998,159.7,2000.0,2840.3,3000.0,0.9,0.0,0.0,159.7,6.2405,1.8908,1.0270000000000001,1.4,True,1840.3,0.03,88.8,94.68,discharge-1000,604.04
59,59,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1546.1,1063.6,97.83,482.5,2000.0,3000.0,3000.0,0.9,2.511548666666664,157.18845133333315,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1517.5,23.59,68.79,100.0,charge-1500,1216.5
60,60,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1491.5,1095.3,99.41,396.2,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1603.8,6.5,73.44,100.0,charge-500,1000.0
61,61,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1489.5,1125.7,95.311,363.8,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1636.2,55.38,75.58,100.0,charge-1000,1000.0
62,62,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1436.9,1057.2,98.905,379.7,2000.0,2620.3,3000.0,0.9,0.0,0.0,379.7,6.2405,1.8908,1.0270000000000001,1.4,True,1620.3,11.7,73.58,87.34,discharge-500,84.43999999999994
63,63,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1151.4,478.4,100.0,673.0,2000.0,2620.3,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1327.0,0.0,41.55,87.34,do-nothing,873.4
64,64,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1296.1,345.1,95.759,951.0,2000.0,2620.3,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1049.0,15.28,26.63,87.34,do-nothing,873.4
65,65,-0.9613974918795568,-0.27516333805159693,0.0,0.0,1.0,1.0,0.0,0.0,1144.1,156.9,100.0,987.2,2000.0,1633.1000000000001,3000.0,0.9,0.0,0.0,987.2,6.2405,1.8908,1.0270000000000001,1.4,True,1012.8,0.0,13.71,54.44,discharge-1500,4560.37
66,66,-0.750987246771676,0.6603167082440802,0.0,0.0,1.0,1.0,0.0,0.0,1064.02,16.52,100.0,1047.5,2000.0,585.6000000000001,3000.0,0.9,0.0,0.0,1047.5,6.2405,1.8908,1.0270000000000001,1.4,True,952.5,0.0,1.55,19.52,discharge-1500,4034.12
67,67,0.14987720966295234,0.9887046181866692,0.0,1.0,0.0,1.0,0.0,0.0,1038.4,0.0,100.0,1038.4,2000.0,1085.6000000000001,3000.0,0.9,0.0,500.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,961.6,0.0,0.0,36.19,charge-500,689.7900000000001
68,68,0.9129452507276277,0.40808206181339196,0.0,1.0,0.0,1.0,0.0,0.0,1261.3,0.0,100.0,1261.3,2000.0,1824.3000000000002,3000.0,0.9,0.0,738.7,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,738.7,0.0,0.0,60.81,charge-1000,1019.0999999999999
69,69,0.8366556385360561,-0.5477292602242684,0.0,1.0,0.0,1.0,0.0,0.0,1213.7,0.0,100.0,1213.7,2000.0,2610.6000000000004,3000.0,0.9,0.0,786.3,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,786.3,0.0,0.0,87.02,charge-1500,1954.96
70,70,-0.008851309290403876,-0.9999608263946371,1.0,0.0,0.0,1.0,0.0,0.0,1512.5,0.0,100.0,1512.5,2000.0,3000.0,3000.0,0.9,0.0,389.39999999999964,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,487.5,0.0,0.0,100.0,charge-1000,2024.9399999999998
71,71,-0.8462204041751706,-0.5328330203333975,1.0,0.0,0.0,1.0,0.0,0.0,1463.7,0.0,100.0,1463.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,536.3,0.0,0.0,100.0,do-nothing,1000.0
72,72,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1451.4,0.0,100.0,1451.4,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,548.6,0.0,0.0,100.0,charge-1000,1000.0
73,73,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1435.7,0.0,100.0,1435.7,2000.0,3000.0,3000.0,0.9,-0.0,-2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,564.3,0.0,0.0,100.0,charge-1500,1000.0
74,74,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1410.8,0.0,100.0,1410.8,2000.0,3000.0,3000.0,0.9,0.0,2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,589.2,0.0,0.0,100.0,charge-1500,1000.0
75,75,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1293.5,0.0,100.0,1293.5,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,706.5,0.0,0.0,100.0,charge-1500,1000.0
76,76,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1289.0,0.0,100.0,1289.0,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,711.0,0.0,0.0,100.0,do-nothing,1000.0
77,77,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1404.97,21.57,100.0,1383.4,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,616.6,0.0,1.54,100.0,charge-1000,1000.0
78,78,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1392.0,96.4,100.0,1295.6,2000.0,3000.0,3000.0,0.9,-0.0,-1.1368683772161603e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,704.4,0.0,6.93,100.0,charge-1000,1000.0
79,79,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1406.6,225.1,100.0,1181.5,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,818.5,0.0,16.0,100.0,charge-1000,1000.0
80,80,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1418.9,274.7,100.0,1144.2,2000.0,3000.0,3000.0,0.9,-0.0,-2.2737367544323206e-13,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,855.8,0.0,19.36,100.0,charge-1000,1000.0
81,81,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1438.7,742.3,100.0,696.4,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1303.6,0.0,51.6,100.0,charge-500,1000.0
82,82,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1182.2,388.0,98.16,794.2,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1205.8,7.27,32.82,100.0,charge-1000,1000.0
83,83,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1516.9,726.6,100.0,790.3,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,6.2405,1.8908,1.0270000000000001,1.4,True,1209.7,0.0,47.9,100.0,do-nothing,1000.0
84,84,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1523.5,681.0,100.0,842.5,2000.0,2157.5,3000.0,0.9,0.0,0.0,842.5,6.2405,1.8908,1.0270000000000001,1.4,True,1157.5,0.0,44.7,71.92,discharge-1500,-1808.5900000000001
85,85,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1582.9,898.0,100.0,684.9,2000.0,1472.6,3000.0,0.9,0.0,0.0,684.9,6.2405,1.8908,1.0270000000000001,1.4,True,1315.1,0.0,56.73,49.09,discharge-1000,-1470.2700000000002
86,86,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1596.1,934.5,100.0,661.6,2000.0,972.5999999999999,3000.0,0.9,0.0,0.0,500.0,6.2405,1.8908,1.0270000000000001,1.4,True,1338.4,0.0,58.55,32.42,discharge-500,-1073.35
87,87,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1441.5,560.5,100.0,881.0,2000.0,91.59999999999991,3000.0,0.9,0.0,0.0,881.0,6.2405,1.8908,1.0270000000000001,1.4,True,1119.0,0.0,38.88,3.05,discharge-1000,-2860.75
88,88,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1329.5,438.9,100.0,890.6,2000.0,0.0,3000.0,0.9,0.0,0.0,91.59999999999991,6.2405,1.8908,1.0270000000000001,1.4,True,1109.4,0.0,33.01,0.0,discharge-500,-1196.63
